previous_index,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
13010,gas_tax,Ind. abortion bill could deepen rift in GOP: Opponents' frustration brings personal attacks on party's leaders,"Cook, Tony; Lange, Kaitlin L","Courier - Journal; Louisville, Ky.","Jan 5, 2018","Louisville, Ky.",A.1,News,https://www.proquest.com/newspapers/ind-abortion-bill-could-deepen-rift-gop/docview/1984681138/se-2?accountid=13360,KY
13293,gas_tax,Headline: Transportation report identifies possible savings,"Loftus, Tom","Courier - Journal; Louisville, Ky.","Feb 4, 2004","Louisville, Ky.",,NEWS,https://www.proquest.com/newspapers/headline-transportation-report-identifies/docview/241184517/se-2?accountid=13360,KY
13780,gas_tax,SPECIAL REPORT; WHY 66? Politics drive Kentucky road project that other states have rejected,,"Courier - Journal; Louisville, Ky.","Dec 16, 2007","Louisville, Ky.",,News,https://www.proquest.com/newspapers/special-report-why-66-politics-drive-kentucky/docview/241464223/se-2?accountid=13360,KY
14093,net_metering,Grimes won't fool me again,Watkins; Jeff,"Courier - Journal; Louisville, Ky.","Mar 2, 2017","Louisville, Ky.",A.15,Opinion,https://www.proquest.com/newspapers/grimes-wont-fool-me-again/docview/1873278239/se-2?accountid=13360,KY
14137,net_metering,Let nature electric bill help pay,"Schneider, Grace","Courier - Journal; Louisville, Ky.","Mar 17, 2010","Louisville, Ky.",,GREEN,https://www.proquest.com/newspapers/let-nature-electric-bill-help-pay/docview/241626380/se-2?accountid=13360,KY
14168,net_metering,Gifts flow as solar policy's pushed: Indiana politicians received thousands,"Hopkins, Emily; Bowman, Sarah","Courier - Journal; Louisville, Ky.","Nov 12, 2017","Louisville, Ky.",A.1,News,https://www.proquest.com/newspapers/gifts-flow-as-solar-policys-pushed/docview/1962715802/se-2?accountid=13360,KY
14219,net_metering,Solar farm fuels interest in bigger Ky. projects,,"Courier - Journal; Louisville, Ky.","Apr 17, 2016","Louisville, Ky.",A.11,News,https://www.proquest.com/newspapers/solar-farm-fuels-interest-bigger-ky-projects/docview/1781402183/se-2?accountid=13360,KY
14246,net_metering,Solar energy campaign fuels interest in Louisville,"Bruggers, James; The Courier-Journal","Messenger Inquirer; Owensboro, Ky.","Sep 8, 2015","Owensboro, Ky.",C.6,,https://www.proquest.com/newspapers/solar-energy-campaign-fuels-interest-louisville/docview/1710143246/se-2?accountid=13360,KY
14254,net_metering,GOING SOLAR,,"Courier - Journal; Louisville, Ky.","Sep 1, 2015","Louisville, Ky.",7,A,https://www.proquest.com/newspapers/going-solar/docview/1708509423/se-2?accountid=13360,KY
14287,net_metering,Thompson has ideas for state to go 'green',,"Courier - Journal; Louisville, Ky.","Jul 31, 2008","Louisville, Ky.",,News,https://www.proquest.com/newspapers/thompson-has-ideas-state-go-green/docview/241484551/se-2?accountid=13360,KY
14567,net_metering,"Kentucky's solar industry smacked by tax, state bill","Bruggers, James","Courier - Journal; Louisville, Ky.","Jan 28, 2018","Louisville, Ky.",A.1,News,https://www.proquest.com/newspapers/kentuckys-solar-industry-smacked-tax-state-bill/docview/1991697063/se-2?accountid=13360,KY
14724,net_metering,Readers Write,,"Messenger Inquirer; Owensboro, Ky.","Apr 10, 2019","Owensboro, Ky.",,Opinion,https://www.proquest.com/newspapers/readers-write/docview/2207201070/se-2?accountid=13360,KY
14732,net_metering,Hollander quotes Thoreau in defense of Clifton solar panels,,"Courier - Journal; Louisville, Ky.","Apr 2, 2016","Louisville, Ky.",A.6,News,https://www.proquest.com/newspapers/hollander-quotes-thoreau-defense-clifton-solar/docview/1777735431/se-2?accountid=13360,KY
14794,net_metering,OMU may accept power generated by customers,"Vied, Steve","Messenger Inquirer; Owensboro, Ky.","Oct 20, 2013","Owensboro, Ky.",B.1,,https://www.proquest.com/newspapers/omu-may-accept-power-generated-customers/docview/1443349854/se-2?accountid=13360,KY
