,Keyword,Title,Author,Publication_title,Publication_date,Place_of_publication,First_page,Section,Document_URL,State
11698,gas_tax,"Iowa Poll: Iowans narrowly favor bans on red light, speed cameras","Noble, Jason","Des Moines Register; Des Moines, Iowa","Feb 21, 2012","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/iowa-poll-iowans-narrowly-favor-bans-on-red-light/docview/922371409/se-2?accountid=13360,IA
11699,gas_tax,"Iowa Poll: Iowans narrowly favor bans on red light, speed cameras","Noble, Jason","Des Moines Register; Des Moines, Iowa","Feb 21, 2012","Des Moines, Iowa",,Politics,https://www.proquest.com/newspapers/iowa-poll-iowans-narrowly-favor-bans-on-red-light/docview/1288851436/se-2?accountid=13360,IA
11739,gas_tax,Haggling over toxic cleanup leaves day care in the middle,"Beeman, Perry","Des Moines Register; Des Moines, Iowa","May 17, 2010","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/haggling-over-toxic-cleanup-leaves-day-care/docview/237893125/se-2?accountid=13360,IA
11863,gas_tax,Highway fund going broke?,Anonymous,"Telegraph - Herald; Dubuque, Iowa","Jun 3, 2009","Dubuque, Iowa",C.3,,https://www.proquest.com/newspapers/highway-fund-going-broke/docview/368755706/se-2?accountid=13360,IA
11873,gas_tax,"Your 2 Cents' Worth: Friday, Dec. 20, 2013",,"Des Moines Register; Des Moines, Iowa","Dec 20, 2013","Des Moines, Iowa",,Opinion,https://www.proquest.com/newspapers/your-2-cents-worth-friday-dec-20-2013/docview/1469715937/se-2?accountid=13360,IA
11886,gas_tax,"Congress to tackle highways, education","Davis, Susan","Des Moines Register; Des Moines, Iowa","Jul 5, 2015","Des Moines, Iowa",3,B,https://www.proquest.com/newspapers/congress-tackle-highways-education/docview/1693522951/se-2?accountid=13360,IA
11954,gas_tax,Sales tax might aid shortfall; 5 percent: Gas and license fee taxes fall $5.1 billion short for highway plan;,ASSOCIATED PRESS,"Telegraph - Herald; Dubuque, Iowa","May 30, 2001","Dubuque, Iowa",,Wisconsin,https://www.proquest.com/newspapers/sales-tax-might-aid-shortfall-5-percent-gas/docview/367674842/se-2?accountid=13360,IA
12015,gas_tax,Roses & Thistles: Oh that record! Turns out we had it all along,,"Des Moines Register; Des Moines, Iowa","Nov 6, 2011","Des Moines, Iowa",,OPINION,https://www.proquest.com/newspapers/roses-thistles-oh-that-record-turns-out-we-had/docview/902263923/se-2?accountid=13360,IA
12019,gas_tax,"Your 2 Cents' Worth: Sunday, June 27, 2010",,"Des Moines Register; Des Moines, Iowa","Jun 27, 2010","Des Moines, Iowa",,LIFE,https://www.proquest.com/newspapers/your-2-cents-worth-sunday-june-27-2010/docview/521319551/se-2?accountid=13360,IA
12030,gas_tax,Another View: Conservatives' bold ideas really are just old ideas,"Milbank, Dana","Des Moines Register; Des Moines, Iowa","Feb 12, 2014","Des Moines, Iowa",,Columnists - Opinion,https://www.proquest.com/newspapers/another-view-conservatives-bold-ideas-really-are/docview/1497180865/se-2?accountid=13360,IA
12033,gas_tax,Lighten growing tax burden,"Yepsen, David","Des Moines Register; Des Moines, Iowa","Apr 17, 2007","Des Moines, Iowa",,Main News,https://www.proquest.com/newspapers/lighten-growing-tax-burden/docview/237792209/se-2?accountid=13360,IA
12038,gas_tax,Branstad wary of Medicaid plan,"Murphy, Erin","Telegraph - Herald; Dubuque, Iowa","Jan 24, 2013","Dubuque, Iowa",A.1,,https://www.proquest.com/newspapers/branstad-wary-medicaid-plan/docview/1272375632/se-2?accountid=13360,IA
12082,gas_tax,Some tax increases are an investment,,"Des Moines Register; Des Moines, Iowa","Apr 5, 2012","Des Moines, Iowa",,OPINION,https://www.proquest.com/newspapers/some-tax-increases-are-investment/docview/964707810/se-2?accountid=13360,IA
12086,gas_tax,Winners and losers from 2009 legislative session,,"Des Moines Register; Des Moines, Iowa","Apr 28, 2009","Des Moines, Iowa",,NEWS,https://www.proquest.com/newspapers/winners-losers-2009-legislative-session/docview/237842121/se-2?accountid=13360,IA
12143,gas_tax,Winners and Losers From 2009 Legislative Session,,"Des Moines Register; Des Moines, Iowa","Apr 28, 2009","Des Moines, Iowa",,Metro Iowa,https://www.proquest.com/newspapers/winners-losers-2009-legislative-session/docview/237844286/se-2?accountid=13360,IA
12217,gas_tax,Conservatives' bold ideas really are just old ideas,,"Des Moines Register; Des Moines, Iowa","Feb 12, 2014","Des Moines, Iowa",19,A,https://www.proquest.com/newspapers/conservatives-bold-ideas-really-are-just-old/docview/1497198274/se-2?accountid=13360,IA
12343,gas_tax,Supervisors applaud year's progress,"Mandel, Eric","Telegraph - Herald; Dubuque, Iowa","Jan 9, 2012","Dubuque, Iowa",A.2,,https://www.proquest.com/newspapers/supervisors-applaud-years-progress/docview/914747480/se-2?accountid=13360,IA
12479,gas_tax,Obradovich: Some legislative perspective for you and me,,"Des Moines Register; Des Moines, Iowa","Feb 23, 2014","Des Moines, Iowa",,Kathie Obradovich,https://www.proquest.com/newspapers/obradovich-some-legislative-perspective-you-me/docview/1501026629/se-2?accountid=13360,IA
12518,gas_tax,"Tight budget, long wish list","Yepsen, David","Des Moines Register; Des Moines, Iowa","Oct 7, 2007","Des Moines, Iowa",,Sunday Opinion,https://www.proquest.com/newspapers/tight-budget-long-wish-list/docview/237825882/se-2?accountid=13360,IA
12535,gas_tax,"Immigration, roadwork proposals discourage unnecessary taxes","Noble, Larry","Des Moines Register; Des Moines, Iowa","Feb 12, 2008","Des Moines, Iowa",,ANKENY ZONE,https://www.proquest.com/newspapers/immigration-roadwork-proposals-discourage/docview/237835721/se-2?accountid=13360,IA
12553,gas_tax,Outdoor trust fund needs Earth Day push,,"Des Moines Register; Des Moines, Iowa","Apr 22, 2015","Des Moines, Iowa",14,A,https://www.proquest.com/newspapers/outdoor-trust-fund-needs-earth-day-push/docview/1674809413/se-2?accountid=13360,IA
12576,gas_tax,Plan: Keep animal-disease data confidential; Proposal would amend Iowa open records law,"Everly, John","Telegraph - Herald; Dubuque, Iowa","Jan 30, 2005","Dubuque, Iowa",,Agriculture,https://www.proquest.com/newspapers/plan-keep-animal-disease-data-confidential/docview/368655008/se-2?accountid=13360,IA
12578,gas_tax,Some legislative perspective for you and me,,"Des Moines Register; Des Moines, Iowa","Feb 23, 2014","Des Moines, Iowa",3,OP,https://www.proquest.com/newspapers/some-legislative-perspective-you-me/docview/1501026601/se-2?accountid=13360,IA
12664,gas_tax,House passes $284 billion highway bill,ASSOCIATED PRESS,"Telegraph - Herald; Dubuque, Iowa","Mar 11, 2005","Dubuque, Iowa",,National/World,https://www.proquest.com/newspapers/house-passes-284-billion-highway-bill/docview/368544609/se-2?accountid=13360,IA
12842,gas_tax,Another fret: Ice Age nears,"Kaul, Donald","Des Moines Register; Des Moines, Iowa","Feb 24, 1999","Des Moines, Iowa",,MAIN NEWS,https://www.proquest.com/newspapers/another-fret-ice-age-nears/docview/889756520/se-2?accountid=13360,IA
12911,gas_tax,Groups worry about tapping COVID relief for infrastructure,"Freking, Kevin; Mascaro, Lisa","Telegraph - Herald; Dubuque, Iowa","Jul 24, 2021","Dubuque, Iowa",A14,,https://www.proquest.com/newspapers/groups-worry-about-tapping-covid-relief/docview/2555227303/se-2?accountid=13360,IA
12998,gas_tax,Rural issues transcend party lines,,"Des Moines Register; Des Moines, Iowa","Nov 13, 2016","Des Moines, Iowa",OP.3,News,https://www.proquest.com/newspapers/rural-issues-transcend-party-lines/docview/1838594836/se-2?accountid=13360,IA
13403,gas_tax,Rioting engulfs Paris as anger grows over high taxes,,"Telegraph - Herald; Dubuque, Iowa","Dec 9, 2018","Dubuque, Iowa",A5,,https://www.proquest.com/newspapers/rioting-engulfs-paris-as-anger-grows-over-high/docview/2154874175/se-2?accountid=13360,IA
13760,gas_tax,Laying down the law,"Garbe, William","Telegraph - Herald; Dubuque, Iowa","Dec 27, 2015","Dubuque, Iowa",A.1,,https://www.proquest.com/newspapers/laying-down-law/docview/1751944185/se-2?accountid=13360,IA
14204,net_metering,Critics say Alliant's plan may burn customers: Will three-year pilot program discourage solar adoption in Iowa?,"Eller, Donnelle","Des Moines Register; Des Moines, Iowa","Mar 19, 2017","Des Moines, Iowa",D.2,Business,https://www.proquest.com/newspapers/critics-say-alliants-plan-may-burn-customers/docview/1878512905/se-2?accountid=13360,IA
14211,net_metering,'Sunshine Tax' could have negative impact on Iowans,,"Telegraph - Herald; Dubuque, Iowa","Mar 25, 2019","Dubuque, Iowa",A4,,https://www.proquest.com/newspapers/sunshine-tax-could-have-negative-impact-on-iowans/docview/2196982038/se-2?accountid=13360,IA
14363,net_metering,Legislation is a threat to the solar industry in Iowa,REP JOHN FORBES,"Des Moines Register; Des Moines, Iowa","Mar 5, 2019","Des Moines, Iowa",S.5,News,https://www.proquest.com/newspapers/legislation-is-threat-solar-industry-iowa/docview/2187911247/se-2?accountid=13360,IA
14364,net_metering,Rep. Forbes: Shining a light on solar power in Iowa,REP JOHN FORBES,"Des Moines Register; Des Moines, Iowa","Mar 3, 2020","Des Moines, Iowa",S.3,News,https://www.proquest.com/newspapers/rep-forbes-shining-light-on-solar-power-iowa/docview/2369740058/se-2?accountid=13360,IA
14369,net_metering,"Local Business Spotlight: Kruse is no sun god, but he's got the power","Danley-Greiner, Kristin","Des Moines Register; Des Moines, Iowa","Nov 19, 2013","Des Moines, Iowa",,Des Moines,https://www.proquest.com/newspapers/local-business-spotlight-kruse-is-no-sun-god-hes/docview/1459376833/se-2?accountid=13360,IA
14468,net_metering,Ankeny eighth-grader organized Capitol climate strike,REP HEATHER MATSON,"Des Moines Register; Des Moines, Iowa","Mar 26, 2019","Des Moines, Iowa",R.1,News,https://www.proquest.com/newspapers/ankeny-eighth-grader-organized-capitol-climate/docview/2197225522/se-2?accountid=13360,IA
14482,net_metering,Power struggle: Iowa town takes on $9.2B utility giant,"Eller, Donnelle","Des Moines Register; Des Moines, Iowa","Apr 22, 2018","Des Moines, Iowa",A.9,News,https://www.proquest.com/newspapers/power-struggle/docview/2028409069/se-2?accountid=13360,IA
14508,net_metering,Big energy goes after Iowa solar industry,SEN CLAIRE CELSI,"Des Moines Register; Des Moines, Iowa","Feb 26, 2019","Des Moines, Iowa",X.6,News,https://www.proquest.com/newspapers/big-energy-goes-after-iowa-solar-industry/docview/2185835458/se-2?accountid=13360,IA
14581,net_metering,Iowans weigh in on energy creation,"Eller, Donnelle","Des Moines Register; Des Moines, Iowa","Mar 2, 2014","Des Moines, Iowa",1,D,https://www.proquest.com/newspapers/iowans-weigh-on-energy-creation/docview/1504577484/se-2?accountid=13360,IA
14583,net_metering,Iowans weigh in on distributed energy generation,"Eller, Donnelle","Des Moines Register; Des Moines, Iowa","Mar 2, 2014","Des Moines, Iowa",,Business,https://www.proquest.com/newspapers/iowans-weigh-on-distributed-energy-generation/docview/1503432357/se-2?accountid=13360,IA
14721,net_metering,Encourage state expansion of solar energy,,"Press - Citizen; Iowa City, Iowa","Jan 3, 2014","Iowa City, Iowa",,Staff Editorials,https://www.proquest.com/newspapers/encourage-state-expansion-solar-energy/docview/1473867412/se-2?accountid=13360,IA
14830,net_metering,Another View: Iowa risks missing a key role in solar power,"Learner, Howard A","Des Moines Register; Des Moines, Iowa","Jan 26, 2014","Des Moines, Iowa",,Columnists - Opinion,https://www.proquest.com/newspapers/another-view-iowa-risks-missing-key-role-solar/docview/1491624622/se-2?accountid=13360,IA
14980,RPS,Board supports the RPS,"Swesey, Marla","Press - Citizen; Iowa City, Iowa","Jan 18, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/board-supports-rps/docview/1270680350/se-2?accountid=13360,IA
14982,RPS,"Time to focus on RPS, not diversity policy","Nielsen, Amy","Press - Citizen; Iowa City, Iowa","Jan 15, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/time-focus-on-rps-not-diversity-policy/docview/1269462819/se-2?accountid=13360,IA
14988,RPS,"On February 5, vote 'yes' for the RPS",,"Press - Citizen; Iowa City, Iowa","Jan 24, 2013","Iowa City, Iowa",,Letters To The Editor,https://www.proquest.com/newspapers/on-february-5-vote-yes-rps/docview/1272301850/se-2?accountid=13360,IA
14997,RPS,Advocating for the environment,"Deaton, Paul","Press - Citizen; Iowa City, Iowa","Feb 18, 2015","Iowa City, Iowa",4,A,https://www.proquest.com/newspapers/advocating-environment/docview/1656380195/se-2?accountid=13360,IA
15020,RPS,Vote 'yes' to help strengthen neighborhoods,"Mims, Susan; Champion, Connie","Press - Citizen; Iowa City, Iowa","Feb 2, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/vote-yes-help-strengthen-neighborhoods/docview/1288850672/se-2?accountid=13360,IA
15034,RPS,Don't just kick problems down the road; vote 'yes',"Grady, Marsha","Press - Citizen; Iowa City, Iowa","Jan 31, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/dont-just-kick-problems-down-road-vote-yes/docview/1282961502/se-2?accountid=13360,IA
15041,RPS,Invest in the education of all students in the district,"Murley, Stephen","Press - Citizen; Iowa City, Iowa","Feb 2, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/invest-education-all-students-district/docview/1288851445/se-2?accountid=13360,IA
15093,RPS,Vote 'yes'; press the re-set button for this district,,"Press - Citizen; Iowa City, Iowa","Feb 4, 2013","Iowa City, Iowa",,Letters To The Editor,https://www.proquest.com/newspapers/vote-yes-press-re-set-button-this-district/docview/1288851546/se-2?accountid=13360,IA
15152,RPS,10 Issues to Watch in 2014,,"Press - Citizen; Iowa City, Iowa","Dec 31, 2013","Iowa City, Iowa",,Staff Editorials,https://www.proquest.com/newspapers/10-issues-watch-2014/docview/1472006335/se-2?accountid=13360,IA
15172,RPS,Tri-state people,,"Telegraph - Herald; Dubuque, Iowa","Oct 23, 2016","Dubuque, Iowa",D.2,,https://www.proquest.com/newspapers/tri-state-people/docview/1831573717/se-2?accountid=13360,IA
15184,RPS,"School districts are more than just buildings, bodies","Lewis, Jason T","Press - Citizen; Iowa City, Iowa","Apr 13, 2013","Iowa City, Iowa",,Guest Editorials,https://www.proquest.com/newspapers/school-districts-are-more-than-just-buildings/docview/1326440696/se-2?accountid=13360,IA
15187,RPS,"McCullough Creative Boyd Gaming Kane, Norby & Reddick O'Connor & Thomas Three Rivers FS Finnin Kia Edward Jones American Trust & Savings Bank Fuerste, Carew, Juergens & Sudmeier International Economic Development Council Iowa Credit Union League Mercy Medical Center-Dyersville Hospice of Dubuque Medical Associates Clinic AccounTraining Solutions RSM US LLP Prairie Ridge EXIT Realty IIW Strand Associates Dubuque Bank & Trust Cartegraph City of Dubuque Opening Doors Heartland Financial USA A.Y. McDonald Ruhl & Ruhl Cottingham & Butler HK Payroll Services Honkamp Krueger & Co. Kunkel & Associates MSA Professional Services Edward Jones Alliant Credit Union Mediacom Hillcrest Family Services",,"Telegraph - Herald; Dubuque, Iowa","Nov 10, 2016","Dubuque, Iowa",A30,,https://www.proquest.com/newspapers/mccullough-creative-boyd-gaming-kane-norby-amp/docview/2205827517/se-2?accountid=13360,IA
15232,RPS,10 issues to watch in 2015,Nelson; Emily,"Press - Citizen; Iowa City, Iowa","Dec 31, 2014","Iowa City, Iowa",9,A,https://www.proquest.com/newspapers/10-issues-watch-2015/docview/1641057965/se-2?accountid=13360,IA
