,State,Title,Author,Publication_date,article
6,AR,"What climate change has to do with the price of your lettuce
",Caitlin Dewey - The Washington Post,"May 12, 2017","   
\Unusual weather in the Southwest could cause a nationwide salad shortage later this month. But that’s just the tip of the iceberg (lettuce): Scientists say the weird weather is probably caused by climate change - which means these sorts of problems are likely to happen again.
\The shortage, first reported by NPR, is the result of two separate phenomena in Arizona’s Yuma County and California’s Salinas Valley, the two places where the United States grows most of its leafy greens. In Yuma, the lettuce harvest, which usually runs from November to April, wound up early because of unusually warm weather. And in central California, which typically picks up the harvest once Yuma is done, heavy precipitation delayed some plantings.
\That could cause a gap at some point between lettuce supplies, said George Frisvold, an agricultural economist at the University of Arizona. Frisvold’s colleague, Jonathan Overpeck, the director of the university’s Institute of the Environment, says we can blame ourselves, in part, for the great salad shortage.
\“There’s this old adage in climate science that you can’t attribute any one event to human causes,” Overpeck said. “That’s not really true anymore, because now it’s really been established that humans alter the whole global climate system. Anything related to increased warmth in the atmosphere likely has some element of human causation.”
\Both the temperature in Yuma and the rain in Salinas have a link to atmospheric warmth. The case of Yuma is pretty obvious: Temperatures in the Southwest have been increasing for 100 years, and this winter was no different. According to the National Weather Service, February’s average temperature was two degrees warmer than the recorded average in recent decades.
\In Salinas, the situation is a bit more complex, Overpeck said. The region has seen an unusual number of storms called “atmospheric rivers” -- you might know them by the name Pineapple Express - which push heavy precipitation to the Pacific coast from around the Hawaiian islands. It’s unclear whether climate change has a role in the increased incidence of atmospheric rivers, Overpeck said. While some early research suggests that is the case, more data is needed to confirm it.
\That said, it’s “a basic concept of physics” that when the atmosphere is warmer, it holds more moisture, Overpeck explained. That means that, when storm clouds form, you tend to see more snow and rain.
\According to the 2012 Census of Agriculture, Yuma County boasts nearly 70,000 acres of planted lettuce, while Monterey County, the home of the Salinas Valley, has 134,000. The 2015 Salinas harvest was valued at more than $1.65 billion.
\Both regions primarily grow iceberg and leaf lettuce, followed by spinach and baby greens.
\Incidentally, these sorts of cascading disruptions aren’t just limited to lettuce - or even to the United States. Britain recently suffered a widely publicized shortage of iceberg lettuce, zucchini, broccoli and cabbage, brought on by extreme weather in Europe’s “salad bowl,” Spain.
\Closer to home, fruit growers across the Northeast and Midwest have expressed concern that unusually high and fluctuating temperatures could cause crops like apples, cherries, plums and grapes to develop too early and expose them to spring freezes. The Progressive Farmer recently warned that “almost off the charts” temperatures in Kansas and Oklahoma could put early-growing winter wheat at similar risk, plus expose it to warm-weather pests and diseases.
\In 2012, high winter temperatures cost Michigan $220 million in cherry harvests. That same year, unusually hot nighttime temperatures also cut into Corn Belt yields.
\The National Climate Assessment estimated that California and Arizona will have gained 70 extra hot nights per year and 12 to 15 additional consecutive days without rain by the end of the century, because of warming.
\“Climate change impacts on agriculture,” the report concludes, “will have consequences for food security both in the U.S. and globally.”
\Compared with that dire prediction, of course, a few weeks without lettuce probably doesn’t sound so bad. Frisvold cautions that any price spikes resulting from a shortage would probably be short term and that none have materialized just yet.
\But in the sense that the looming salad scenario signals things to come, it’s worth paying attention.
\“Every grower is noting warming,” Overpeck said. “And while we can’t say what percentage is due to humans, we can say humans are putting their foot on the accelerator.”
\Author Information:
\Caitlin Dewey is the food policy writer for Wonkblog.
\@caitlindewey
"
7,AR,"Letter: U.S. must lead on climate change
","John Ward, Greenwood","Jan 20, 2017   ","Those evangelicals who prayed for the election of President-Elect Donald Trump and now declare his victory to be God’s answer to their prayers should now begin praying Trump was correct when he called climate change a hoax invented by the Chinese.
\Trump wants to exit the Paris Agreement on Climate Change. America’s leadership in this agreement is crucial for other nations maintaining their commitments to CO2 emission reduction. He wants to increase the usage of heavy CO2-producing oil and coal. He wants to roll back President Obama’s Clean Power Plan with its steps to reduce carbon emissions 26 to 28 percent by 2025. Trump has picked Oklahoma Attorney General Scott Pruitt, an oil industry shill, to head the Environmental Protection Agency.
\Some very reliable research indicates the Earth is racing toward an apocalyptic future because of climate change if CO2 emissions are not dramatically reduced. According to a University of Hawaii study, major cities such as New York and London could become uninhabitable because of irreversible man-made climate change. Humanitarian crises could unfold as hundreds of millions of refugees pour illegally across borders fleeing regions increasingly incapable of sustaining life. The study has concluded these things could occur within 45 years. This means the children and grandchildren of the 81 percent of white evangelicals who voted for Donald Trump will watch these catastrophes unfold.
\Those evangelicals declaring the election of Donald Trump to be the answer to their prayers have made a huge bet: They have essentially wagered the Christian faith of their descendants on these claims. Their children and grandchildren could very well see these declarations as an argument for atheism.
"
8,AR,"In break with Trump, EPA pick Pruitt says climate change isn’t hoax
","MICHAEL BIESECKER and MATTHEW DALY, Associated Press","Jan 18, 2017","WASHINGTON — Donald Trump’s choice to head the Environmental Protection Agency said Wednesday that climate change is real, breaking with both the president-elect and his own past statements.
\In response to questions from Democrats during his Senate confirmation hearing, Oklahoma Attorney General Scott Pruitt said he disagreed with Trump’s earlier claims that global warming is a hoax created by the Chinese to harm the economic competitiveness of the United States.
\“I do not believe climate change is a hoax,” Pruitt said.
\The 48-year-old Republican has previously cast doubt on the extensive body of scientific evidence showing that the planet is warming and man-made carbon emissions are to blame. In a 2016 opinion article, Pruitt suggested that the debate over global warming “is far from settled” and he claimed that “scientists continue to disagree about the degree and extent of global warming and its connection to the actions of mankind.”
\At the hearing before the Senate Energy and Public Works Committee, Pruitt conceded that human activity contributes “in some manner” to climate change. He continued, however, to question whether the burning of fossil fuels is the primary reason, and refused to say whether sea levels are rising.
\Pruitt’s testimony came shortly after NASA and the National Oceanic and Atmospheric Administration issued a joint statement affirming that 2016 was officially the hottest year in recorded history. Studies show the Greenland and Antarctic ice sheets have decreased in mass, while the world’s oceans have risen on average nearly 7 inches in the last century.
\Pressed by Sen. Bernie Sanders, I-Vt., to answer in detail about his beliefs about climate change, Pruitt responded that his personal opinion was “immaterial” to how he would enforce environmental laws.
\In his current post, Pruitt joined a multistate lawsuit opposing the Obama administration’s plan to limit planet-warming carbon emissions from coal-fired power plants. Pruitt also sued over the EPA’s recent expansion of water bodies regulated under the Clean Water Act. It has been opposed by industries that would be forced to clean up polluted wastewater.
\Pruitt said that if were confirmed by the GOP-run Senate, he would work with states and industry to return the federal watchdog to what he described as its proper role.
\“Environmental regulations should not occur in an economic vacuum,” Pruitt said. “We can simultaneously pursue the mutual goals of environmental protection and economic growth.”
\Pruitt has a history of criticizing and suing the agency he is in line to lead. Environmentalists opposing his nomination cite his cozy relationships with oil and gas industry executives who have donated to his political campaigns.
\As the hearing got underway, shouting could be heard from people who were not allowed in. The room accommodated fewer than 100 people; most seats were taken by congressional staff, reporters and others who were allowed in early. Only a few seats remained for the public.
\One woman was quickly wrestled out of the room by three police officers as she pulled out a roll of yellow crime scene tape and shouted “We don’t want EPA gutted!”
\Later, a group of coal miners wearing hard hats were allowed in to show support for Pruitt. Trump has pledged to bring back tens of thousands of lost coal mining jobs once inaugurated, though he has not yet detailed how.
\Senate Republicans uniformly praised Pruitt what they described as his robust record of enforcing environmental laws “when appropriate.” Court records show scant evidence of Pruitt acting to protect the environment in years as a state regulator.
\Shortly after Pruitt took office in Oklahoma in 2011, he disbanded the unit responsible for protecting the state’s natural resources. He reassigned his staff to file more than a dozen lawsuits challenging EPA regulations.
\Senate Democrats focused on Pruitt’s record of siding with polluters in court as he collected campaign contributions from them.
\Sen. Sheldon Whitehouse, D-R.I., pressed Pruitt on money he raised from energy companies such as Exxon Mobil and Devon Energy, as well as the corporate “dark money” raised by groups with which he is involved that are not required to disclose their donors.
\Earlier this month, Pruitt resigned from the board of the Rule of Law Defense Fund, a Washington-based group supporting the legal agendas of GOP attorney generals that Whitehouse described the group as “a complete black hole into which at least $1 million goes.” In his response, Pruitt declined to disclose whether the group’s donors included fossil fuel companies or utilities with regulatory issues before EPA.
\Though Pruitt ran unopposed for a second term in 2014, public campaign finance reports show he raised more than $700,000, much of it from people in the energy and utility industries.
\Pruitt has also faced criticism from environmentalists for failing to take any action to help curb a dramatic spike in earthquake activity in Oklahoma that scientists have linked to the underground disposal of oil and gas wastewater.
\Pruitt said his support for legal positions advocated by oil and gas companies was in the best interest of Oklahoma, which is economically dependent on the fossil fuel industry.
\Associated Press writer Sean Murphy in Oklahoma City contributed to this report.
"
9,AR,"Sen. Inhofe, Denier Of Human Role In Climate Change, Likely To Lead Environment Committee
",NA,"Nov 6, 2014","WASHINGTON — Sen. James M. Inhofe, an the Oklahoma Republican who once compared the Environmental Protection Agency to the gestapo, is likely to lead the Environment and Public Works Committee when the GOP takes control of the Senate next year.
\If approved, Inhofe would replace Chairman Barbara Boxer, D-Calif., an avowed environmentalist, producing one of the most stark post-election changes in the Capitol. Committee assignments will not be made until Senate party caucuses meet in Washington after the election recess.
\Inhofe, who has served in the Senate for two decades, is an iconic figure to both environmental and energy lobbyists. He chaired the committee from 2003 to 2008, when Republicans controlled the Senate. Inhofe, a former congressman and mayor of Tulsa, came to Washington to do battle with federal bureaucrats, particularly those at the EPA whom he said threatened the energy industry in his home state.
\In his 2012 book, “The Greatest Hoax: How the Global Warming Conspiracy Threatens Your Future,” Inhofe describes himself as a lonely crusader against an environmental-liberal conspiracy. “First I stood alone in saying that anthropogenic [manmade] catastrophic global warming is a hoax,” he wrote.
\Shortly after becoming chairman of the committee in 2003, Inhofe took issue with the theory that increasing carbon dioxide emissions causes catastrophic disasters. “Actually,” he said, “global warming can be beneficial to mankind,” leading to improvements in the environment and the economy.
\The book lays out his belief that the EPA needed to be constrained. Its regulations, he wrote, have long threatened the U.S. economy, a situation that has only grown more severe in recent years, as the Obama administration and its allies on the left perpetuate the myth of manmade climate change — and propose an executive branch initiative to address the problem.
\“The Obama EPA is set to implement the most aggressive regulatory regime in history,” he wrote, criticizing the agency’s plan to regulate carbon emissions. “Global warming alarmists,” he wrote, “are set to destroy hundreds of thousands of jobs and significantly raise energy prices for families, businesses and farmers, basically anyone who drives a car, uses heavy machinery, or flips a switch.
\Many Republicans, including the chairman of the House Energy and Commerce Committee, share his skepticism of the EPA and its plan to address carbon emissions, which became apparent in 2009. That year, the agency issued a finding that greenhouse gas emissions linked to global warming endanger the public’s health and welfare. Subsequently, the agency told industrial facilities — such as power plants and oil refineries that require permits to emit sulfur dioxide and nitrous oxide — to account for greenhouse gas emissions if they expand or add construction that significantly increases greenhouse gas pollution.
\Republican lawmakers, with energy sector allies, argued that the rules would damage U.S. manufacturers’ ability to compete against companies operating in countries with less stringent standards.
\Inhofe was among the most aggressive of the critics, warning that the U.S. economy would be placed at risk.
\In addition to attacking the EPA regulatory scheme, he has been among the most outspoken critics of climate scientists, calling attention in 2010 to the disclosure of emails and documents at the Climate Research Unit at Britain’s East Anglia University that discussed the alleged twisting of some data and conclusions.
\Inhofe has called for congressional action to limit EPA regulations on clean water, saying the agency exceeded its authority and tramples on the rights of states.
\His reelection, and the arrival of several new Republicans, will increase the number of Senate critics of environmental regulation, including those who have been urging approval of the Keystone XL oil pipeline. For example, in Colorado, Republican Rep. Cory Gardner defeated Democratic Sen. Mark Udall, who had voted against the project.
\Scott Segal, an energy lobbyist at Bracewell & Giuliani law firm in Washington, said of the potential committee assignment: “While activists are not happy about it, they have to admit that Senator Inhofe ran a fair committee with open hearings and respect for minority viewpoints... . Inhofe will put the administration through its paces. But he will do it with respect.”
"
10,AR,"Robinson: Trump will be in for climate change fight
",Eugene Robinson/Washington Post   ,"Dec 16, 2016","WASHINGTON -- The incoming Trump administration will face passionate and hostile resistance if it tries to deny the reality of human-induced climate change. We can already hear the drums of war.
\-- The Department of Energy flatly denied a demand from the Trump transition team to supply the names of employees or contractors who have participated in international climate change negotiations in the last five years. Also rejected was a request for names of staff who helped calculate the “social cost” of carbon emissions. The obvious concern is that these workers would be labeled as unreliable, and perhaps shoved aside, by political appointees determined to pretend that climate change does not exist.
\-- Scientists have begun a frantic effort to archive decades’ worth of climate data, copying it onto servers that are beyond the U.S. government’s reach. The voluminous data sets, compiled by agencies including NASA and the National Oceanic and Atmospheric Administration, help form the basis for the consensus view that the atmosphere and the oceans are rapidly warming due to heat-trapping carbon dioxide emissions. There has been no threat from the Trump camp to do anything untoward regarding the data, but the researchers are taking no chances.
\-- California Gov. Jerry Brown said Wednesday that if President-elect Donald Trump tries to impede his state’s vigorous efforts against climate change, “We’ve got the scientists, we’ve got the lawyers and we’re ready to fight. We’re ready to defend.” Speaking in San Francisco at a meeting of the American Geophysical Union, Brown warned that rumored budget cuts might end a NASA program that uses satellites to take measurements of the earth, including temperature. “If Trump turns off the satellites,” Brown declared, “California will launch its own damn satellite.”
\All of this is just the beginning. Trump, who has repeatedly described climate change as a “hoax,” will try to reverse the Obama administration’s progress in limiting carbon emissions. Assuming he follows through, he’ll have a real fight on his hands.
\At one of his strongman-style victory rallies this past Tuesday night, Trump said that “we will cancel the restrictions on the production of American energy, including shale, oil, natural gas, and clean, beautiful coal.”
\Apparently, Trump never met a fossil fuel he didn’t like. And he has announced his intention to appoint the most prominent oil man he could find -- Rex Tillerson, chief executive of Exxon Mobil, the largest non-government oil company in the world -- as secretary of state.
\Trump may renounce the historic Paris agreement, in which the world’s biggest carbon emitters -- China, the United States and India -- all pledged curbs. He can also eliminate regulations limiting carbon emissions by power plants; encourage more drilling for oil and natural gas; and try his best to revive the moribund coal mining industry, though its decline is due more to market forces than to anything the government has done.
\These threatened actions come near the end of what will almost surely be the warmest year on record. Continuing what scientists see as an indisputable trend, 2016 was an absolute scorcher. And yes, I realize that right now it’s cold outside in much of the country; some scientists believe that rapid warming at the North Pole has destabilized air flow patterns and perhaps made these “polar vortex” cold snaps more common. In any event, the key measurement is the global temperature average, not the local wind chill.
\Trump is being advised by a number of vocal climate-change deniers. The data that scientists are rushing to preserve clearly refutes those who say there is no warming -- hence the urgency to protect the information. Some deniers acknowledge the fact of warming but say it is due to some unfathomable natural cycle. But Occam’s razor argues persuasively for the simpler explanation: Since the Industrial Revolution, we have increased the atmosphere’s concentration of carbon dioxide -- known to trap heat -- by an incredible 40 percent.
\Much of the rest of the world understands the need to move toward clean energy. The technology isn’t quite there yet, so some breakthroughs will be required. Smart government policy would be to invest in research to make it more likely that these advances are made in Berkeley rather than Bangalore or Beijing.
\Dumb policy would be to fire up the smokestacks, stop collecting all that annoying climate data and marginalize federal employees who best understand global warming. This is the direction Trump appears to be headed.
\The president-elect threatens to make the United States a second-rate player in the coming clean-energy economy. I guess that’s his idea of greatness, but it’s not mine.
"
11,AR,"Energy Department rejects Trump request for climate-change names
","Posted Dec 13, 2016 at 2:06 PM",By Todd Shields and Jennifer A. Dlouhy / Bloomberg News,"   
\WASHINGTON — The U.S. Energy Department rejected a request from President-elect Donald J. Trump’s transition team for the names of workers who played a role in implementing President Barack Obama’s climate agenda.
\“We are going to respect the professional and scientific integrity and independence of our employees,” Energy Department spokesman Eben Burnham-Snyder said in an email Tuesday. “We will not be providing any individual names to the transition team.”
\The transition team asked the agency to list employees and contractors who attended United Nations climate meetings, along with those who helped develop methods to estimate and justify the benefits of new rules, according to an internal document obtained by Bloomberg News.
\Trump has questioned the science of climate change, and named to his transition team a number of people who either deny that man-made global warming is happening or are skeptical of the link between the burning of fossil fuels and the climate. Democrats and outside advocacy groups said the questions were an attempt to intimidate workers.
\“Some of the questions asked left many in our workforce unsettled,” Burnham-Snyder said. The department would provide “publicly available information.”
\Under Obama, the Energy Department played a major role advancing clean-energy technology through loan guarantees and incubators, while writing efficiency rules for appliances. The department leans heavily on tens of thousands of contractors, who supplement the work of its roughly 13,000 direct employees.
\“It’s great that the Department of Energy is taking the independence of its employees seriously and will do what it can to protect their ability to do their jobs,” said Michael Halpern, deputy director of the Center for Science and Democracy at the Union of Concerned Scientists.
\Thomas Pyle, who leads the energy-focused transition team for Trump, didn’t immediately respond to an emailed request for comment.
\Trump has chosen Rick Perry, a former Texas governor, to lead the agency, according to four people familiar with the president-elect’s selection process. Perry, a former presidential candidate, once vowed to abolish the department but forgot its name during a debate. He’s at least the third Cabinet pick considered friendly to the oil industry.
\Distributed by Tribune Content Agency.
"
12,AR,"John Kerry talks climate change but not Trump in Antarctica
",The Associated Press,"Nov 11, 2016","MCMURDO STATION, Antarctica — U.S. Secretary of State John Kerry didn’t comment on President-elect Donald Trump’s election victory on Friday while visiting Antarctica, but did say that citizens who care about limiting emissions might have to march in the streets to push for more aggressive action.
\Kerry became the highest-ranking American official to visit Antarctica when he landed for a two-day trip. He’s been hearing from scientists about the impact of climate change on the frozen continent.
\Trump has called climate change a hoax and said he would “cancel” U.S. involvement in the landmark Paris Agreement on global warming.
\“We need to get more of a movement going,” Kerry said when addressing several hundred scientists and staff at an evening event at McMurdo Station, the large base which is the hub for U.S. operations. “We need to get more people to engage.”
\Kerry said there was a risk that much of Antarctica’s ice will eventually flow into the ocean, raising sea levels worldwide.
\Despite the Paris agreement to cut the fossil-fuel emissions causing the planet to warm, “we haven’t won the battle yet,” Kerry said to the audience that included many young people involved in climate research.
\Earlier, a planned visit to the South Pole was scrapped because of bad weather. Instead, Kerry and members of his entourage were taken on a helicopter tour of the McMurdo Dry Valleys, one of the few parts of Antarctica that are largely free of ice year-round.
\Kerry left from New Zealand early Friday aboard a C-17 Globemaster military cargo plane after being held up for about a day by bad weather. An experienced pilot, Kerry spent much of the flight in the cockpit of the huge jet, chatting with the pilots.
\After a smooth trip of about five hours, the group landed on the Pegasus Ice Runway, the strip of ice that serves McMurdo.
\Kerry’s aides described the trip as a learning opportunity for the secretary of state. He has been receiving briefings from scientists working to understand the effects of climate change on Antarctica.
\Kerry has made climate change an intensive focus of American diplomacy during his term, and had previously spent decades working on the issue as a U.S. senator.
\He planned to return to New Zealand on Saturday for a meeting with Prime Minister John Key. Kerry plans to fly next week to the Middle East for talks, and then onward to a global climate conference in Morocco, where he will give a major speech.
"
13,AR,"Paris climate change deal becomes international law
",Michael Astor / The Associated Press,"Nov 4, 2016  ","UNITED NATIONS — The Paris Agreement to combat climate change became international law on Friday — a landmark deal about tackling global warming amid growing fears that the world is becoming hotter even faster than scientists expected.
\So far, 96 countries, accounting for just over two-thirds of the world’s greenhouse gas emissions, have formally joined the accord, which seeks to limit global warming to 3.6 degrees Fahrenheit. More countries are expected to come aboard in the coming weeks and months.
\Secretary General Ban-Ki moon commemorated the event, talking with civil society groups at U.N. headquarters in New York to hear their concerns and visions for the future.
\“Today we make history in humankind’s efforts to combat climate change,” Ban said before opening the meeting.
\He praised the civil groups for mobilizing hundreds of millions of people to back fighting climate change, but warned the outcome remained uncertain.
\“We are still in a race against time. We need to transition to a low-emissions and climate-resilient future,” Ban said. “Now is the time to strengthen global resolve, do what science demands and seize the opportunity to build a safer more sustainable world for all.”
\Scientists praised the speed at which the agreement, signed by over 190 parties last December in Paris, has come into force, saying it underscores a new commitment by the international community to address the problem which is melting polar ice caps, sending sea levels rising and transforming vast swaths of arable land into desert.
\But environmentalists say the agreement is just the first step of a much longer and complicated process of transitioning away from fossil fuels, which currently supply the bulk of the planet’s energy needs and also are the primary drivers of global warming.
\Naomi Ages, climate liability project lead at Greenpeace, said that it was up to civil society groups to hold governments and corporations responsible.
\“We know that existing fossil fuel projects will push us past 2 degrees, so we’re mobilizing around the world to keep it in the ground and stop development of new fossil fuel projects,” Ages said.
\While the Paris agreement is legally binding, the emissions reductions that each country has committed to are not. Instead, the agreement seeks to create a transparent system that will allow the public to monitor how well each country is doing in meeting its goals in hopes that this will motivate them to transition more quickly to clean, renewable energy like wind, solar and hydropower.
\The agreement also requires governments to develop climate action plans that will be periodically revised and replaced with new, even more ambitious, plans. Many of these details will begin to be addressed at the COP22 climate change meeting that begins next week in Marrakech, Morocco.
"
14,AR,"Google Cuts Ties With Conservative Group Over Climate-Change Stance
",NA,"Sep 24, 2014","WASHINGTON — Google’s effort to build strong alliances with Republican politicians and conservative advocacy groups is paying dividends on Capitol Hill, but has created a growing marketing and public relations headache for the firm.
\Climate-change activists have shown up at shareholder meetings demanding that executives explain how the firm can, in good conscience, support lawmakers who deny that global warming is a threat.
\A fundraiser that the company held for Sen. James M. Inhofe, R-Okla., one of the most vocal climate-change skeptics in Congress, touched off a mini-rebellion among staff, along with unwelcome media attention.
\And the Sierra Club and major unions, including the SEIU and the AFL-CIO, joined 50 other groups this month in demanding that Google end its membership in the American Legislative Exchange Council, a conservative network of state politicians that, among other projects, works to roll back laws that promote solar and wind power.
\Google bowed to that demand Monday, announcing that it would sever ties with ALEC because of the group’s stand on climate change.
\“The consensus within the company was that that was some sort of mistake,” Google Executive Chairman Eric Schmidt said of the decision to join the group.
\“Everyone understands climate change is occurring, and the people who oppose it are really hurting our children and our grandchildren and making the world a much worse place. And so we should not be aligned with such people — they’re just, they’re just literally lying,” Schmidt said in an interview with NPR’s Diane Rehm on Monday.
\Environmental activists praised the decision but said they would continue to press Google to change other aspects of its political strategy.
\The company is “going in the right direction” by abandoning ALEC, “but it is still funding the campaigns of climate deniers in Congress and on K Street,” said Brant Olson, campaign director for Forecast the Facts, an activist group that had played a major role in organizing the anti-ALEC campaign. “It is still shooting itself in the foot in terms of its climate goals.”
\Lisa Nelson, ALEC’s chief executive, attributed Google’s move to “public pressure from left-leaning individuals and organizations who intentionally confuse free-market policy perspectives for climate-change denial.”
\Microsoft, which had come under similar pressure, recently abandoned its ALEC membership.
\Like other firms in the tech industry, Google in recent years has become more active in trying to lobby Washington. At a time when the GOP controls the House and may soon control the Senate, the firm is looking to build as many relationships as possible with prominent conservatives.
\But playing both sides of the street and hedging political bets fit badly with the Mountain View, Calif., company’s carefully honed public image. Google has increasingly found it hard to reconcile its progressive Bay Area corporate persona with hundreds of thousands of dollars in campaign contributions to people and causes the progressive base detests.
\Google’s politics are complicated. The company receives accolades from green activists for $1.5 billion it has invested in clean-energy technology. It bankrolls some of the most ambitious solar projects on the planet. The company’s passions for creativity, innovation and free expression play well with liberals.
\But the tech behemoth’s agenda in Washington is broad. Many of the issues on which it lobbies, including patent reform, digital privacy and net neutrality, do not fall neatly along partisan lines. As Google cultivates Republican allies on such issues, the progressive blowback intensifies.
\“We should not be electing climate deniers into office, and we should not be supporting them in the marketplace,” said Michael Brune, executive director of the Sierra Club.
\“Et tu Google?” was a headline on a report published this month by Forecast the Facts and the Sum of Us, two networks of liberal activists that boast a combined membership of more than 5.2 million.
\The groups challenged Google’s nearly $700,000 in cumulative corporate and employee donations to lawmakers who have publicly doubted the threat of climate change.
\The list of climate skeptics was compiled by another liberal advocacy group, the Washington-based Center for American Progress, which has close ties to the Obama administration. The center, ironically, gets funding from Google.
\The latest pressure came after 17 of Google’s own science fellows, outraged by the Inhofe fundraiser, questioned the company’s moral leadership in a letter last year to its top executives.
\Anger over the ALEC ties had prompted several activists to journey to Google’s shareholder meeting in May, including Jim Wilke, owner of a rooftop solar business in Oklahoma. He says ALEC-inspired legislation passed in his state is undermining the rooftop solar industry there.
\“You continue to fund a group that is actively and successfully destroying renewable-energy markets,” he said at the meeting.
\David Drummond, Google’s chief legal officer, thanked Wilke for raising the issue, noting that he was not the first to do so.
\“We’ll continue to review it,” Drummond said at the time.
\———
\Distributed by MCT Information Services
"
15,AR,"Reports: Climate change ‘significant and direct’ threat to U.S. military
",Idrees Ali / Reuters   ,"Sep 14, 2016","WASHINGTON — The effects of climate change endanger U.S. military operations and could increase the danger of international conflict, according to three new documents endorsed by retired top U.S. military officers and former national security officials.
\“There are few easy answers, but one thing is clear: the current trajectory of climatic change presents a strategically-significant risk to U.S. national security, and inaction is not a viable option,” said a statement published on Wednesday by the Center for Climate and Security, a Washington-based think tank.
\It was signed by more than a dozen former senior military and national security officials, including retired General Anthony Zinni, former commander of the U.S. Central Command, and retired Admiral Samuel Locklear, head of the Pacific Command until last year.
\They called on the next U.S. president to create a cabinet level position to deal with climate change and its impact on national security.
\A separate report by a panel of retired military officials, also published on Wednesday by the Center for Climate and Security, said more frequent extreme weather is a threat to U.S. coastal military installations.
\“The complex relationship between sea level rise, storm surge and global readiness and responsiveness must be explored down to the operational level, across the Services and Joint forces, and up to a strategic level as well,” the report said.
\Earlier this year, another report said faster sea level rises in the second half of this century could make tidal flooding a daily occurrence for some installations.
\Francesco Femia, co-founder and president of the Center for Climate and Security, said the reports show bipartisan national security and military officials think the existing U.S. response to climate change “is not commensurate to the threat”.
\The fact that a large and bipartisan number of former officials signed the reports could increase pressure on future U.S. administrations to place greater emphasis and dedicate more resources to combat climate change.
\Addressing climate change has not been a top priority in a 2016 campaign dominated by the U.S. economy, trade and foreign policy.
\Republican presidential candidate Donald Trump has said that global warming is a concept “created by the and for the Chinese” to hurt U.S. business.
\Democrat Hillary Clinton, meanwhile, has advocated shifting the country to 50 percent clean energy by 2030 and promised heavy regulation of fracking.
"
16,AR,"Village in Alaska votes to relocate due to climate change
",Sebastien Malo / Thomson Reuters Foundation   ,"Aug 18, 2016","NEW YORK — A Native American village in the U.S. state of Alaska has voted to relocate its entire population of some 600 people due to the threat of rising seas, officials said on Thursday.
\Shishmaref, located on a tiny island north of the Bering Strait that separates the United States and Russia, is losing up to 10 feet of shoreline each year, according to research by the U.S. Army Corps of Engineers and Alabama-based Auburn University.
\Shishmaref is one of dozens of indigenous villages in Alaska that face growing threats of flooding and erosion due to global warming, according to a report by the U.S. Government Accountability Office.
\Shishmaref residents, who are members of the Inupiat tribe, voted 89 to 78 to relocate, said Donna Barr, secretary of the Shishmaref Council. Voting took place earlier this week, but the official count has not yet been formally certified and a handful of absentee ballots remain unopened.
\This is not the first time Shishmaref residents have made such a decision. They voted in 2002 to relocate but that effort stalled.
\A few other U.S. communities in Alaska, Washington and Louisiana have decided recently to relocate as well due to climate change and shoreline erosion, according to the Washington, D.C.-based Arctic Institute.
\Several others are likely weighing options to move, said Christina DeConcini, a spokeswoman for the Washington, D.C.-based World Resources Institute.
\“It’s not going to be the last time that the United States has to deal with communities severely threatened by climate change and impacts and whether or not they can stay there,” she said.
\In Shishmaref, Tommy Richter, pastor of the Lutheran Church, the island’s only church, said the community was torn over leaving its heritage behind.
\“There are people here who have been here for generations and don’t want to leave at all,” he told the Thomson Reuters Foundation.
\The cost of relocation has been estimated at some $180 million, and authorities are seeking state and federal funding, according to local media.
\Where to relocate remains to be decided, the clerk said. Two vacant sites on the mainland are being considered.
\Relocation could take more than ten years, according to a private feasibility study conducted for Shishmaref and published in February.
\The island, which is seven square miles, lies five miles off the mainland. Its economy is based largely on fishing and hunting.
\Scientists attribute coastal erosion in Shishmaref to global warming that has thawed sea ice that once shielded the island from storm surges. Its permafrost, the layer of permanently frozen soil on which it is built, is melting as well.
\The village already has moved several homes and a National Guard Armory away from its coastline and built sea walls that have had limited success, according to Alaska authorities.
\In March, the U.S. Department of the Interior announced $6.5 million in funding to help Native American communities find ways to deal with climate change.
\Since 2014, more than 140 tribes and tribal organizations have gotten government funding to help address the impacts of global warming, it said.
"
